행정구,법정동,평균실거래가
송파구,가락동,917
구로구,가리봉동,641
금천구,가산동,406
강서구,가양동,826
은평구,갈현동,611
구로구,개봉동,534
강남구,개포동,971
송파구,거여동,981
강동구,고덕동,1256
구로구,고척동,422
마포구,공덕동,2573
노원구,공릉동,395
강서구,공항동,648
광진구,광장동,796
종로구,구기동,679
구로구,구로동,665
은평구,구산동,503
광진구,구의동,695
광진구,군자동,835
구로구,궁동,525
성동구,금호동1가,678
성동구,금호동2가,754
성동구,금호동3가,1192
강동구,길동,656
서대문구,남가좌동,483
관악구,남현동,701
강서구,내발산동,538
마포구,노고산동,1653
동작구,노량진동,516
은평구,녹번동,695
강남구,논현동,1288
종로구,누상동,590
광진구,능동,763
동대문구,답십리동,1033
영등포구,당산동,535
영등포구,당산동1가,1131
영등포구,당산동3가,1620
영등포구,당산동6가,869
마포구,당인동,787
영등포구,대림동,935
동작구,대방동,923
은평구,대조동,666
강남구,대치동,1266
마포구,대흥동,1213
강남구,도곡동,894
영등포구,도림동,688
도봉구,도봉동,408
마포구,도화동,755
금천구,독산동,750
성북구,돈암동,731
용산구,동빙고동,3495
성북구,동선동2가,209
성북구,동선동5가,722
종로구,동숭동,590
동작구,동작동,661
강동구,둔촌동,595
강서구,등촌동,609
강서구,마곡동,592
성동구,마장동,840
송파구,마천동,1124
중랑구,망우동,556
마포구,망원동,769
중랑구,면목동,598
종로구,명륜1가,761
종로구,명륜3가,533
종로구,명륜4가,695
강동구,명일동,697
양천구,목동,590
중랑구,묵동,491
송파구,문정동,849
강북구,미아동,595
서초구,반포동,1255
서초구,방배동,1404
송파구,방이동,904
도봉구,방학동,419
강서구,방화동,829
강북구,번동,497
용산구,보광동,5009
성북구,보문동5가,740
성북구,보문동6가,340
성북구,보문동7가,434
동작구,본동,1066
관악구,봉천동,701
종로구,부암동,688
서대문구,북가좌동,482
서대문구,북아현동,566
은평구,불광동,602
동작구,사당동,893
용산구,산천동,989
성북구,삼선동1가,658
성북구,삼선동2가,595
성북구,삼선동3가,503
성북구,삼선동4가,636
강남구,삼성동,2240
송파구,삼전동,732
종로구,삼청동,485
노원구,상계동,673
동작구,상도1동,572
동작구,상도동,621
중랑구,상봉동,618
마포구,상수동,1178
마포구,상암동,862
강동구,상일동,629
용산구,서계동,1727
마포구,서교동,848
용산구,서빙고동,992
서초구,서초동,1289
성북구,석관동,791
송파구,석촌동,1014
강동구,성내동,824
성북구,성북동,716
성북구,성북동1가,502
마포구,성산동,826
성동구,성수동1가,1856
성동구,성수동2가,1048
강남구,세곡동,2670
송파구,송파동,1025
은평구,수색동,1713
강북구,수유동,429
종로구,숭인동,579
금천구,시흥동,552
마포구,신공덕동,927
영등포구,신길동,825
중랑구,신내동,384
중구,신당동,747
동작구,신대방동,1466
관악구,신림동,569
강남구,신사동,998
은평구,신사동,495
동대문구,신설동,645
마포구,신수동,810
종로구,신영동,689
양천구,신월동,532
양천구,신정동,711
용산구,신창동,1167
도봉구,쌍문동,488
마포구,아현동,1412
성북구,안암동2가,497
성북구,안암동5가,440
강동구,암사동,727
서초구,양재동,1100
영등포구,양평동3가,1449
영등포구,양평동4가,835
영등포구,양평동5가,804
영등포구,양평동6가,832
강남구,역삼동,1295
은평구,역촌동,552
마포구,연남동,689
서대문구,연희동,555
마포구,염리동,2835
강서구,염창동,315
영등포구,영등포동,1164
영등포구,영등포동1가,1447
영등포구,영등포동5가,1221
영등포구,영등포동6가,1176
송파구,오금동,752
구로구,오류동,453
성동구,옥수동,929
종로구,옥인동,628
구로구,온수동,503
강서구,외발산동,325
동대문구,용두동,877
용산구,용문동,1382
용산구,용산동2가,673
서초구,우면동,907
강북구,우이동,378
용산구,원효로1가,1707
용산구,원효로2가,2404
용산구,원효로3가,1440
용산구,원효로4가,904
노원구,월계동,466
성동구,응봉동,542
은평구,응암동,565
동대문구,이문동,1827
용산구,이태원동,1022
종로구,이화동,1029
강남구,일원동,2316
강남구,자곡동,1363
광진구,자양동,895
송파구,잠실동,1214
서초구,잠원동,912
동대문구,장안동,751
성북구,장위동,812
중구,장충동1가,578
동대문구,전농동,735
성북구,정릉동,435
동대문구,제기동,740
성북구,종암동,619
노원구,중계동,426
광진구,중곡동,633
마포구,중동,668
중랑구,중화동,634
은평구,증산동,793
도봉구,창동,492
종로구,창신동,754
서대문구,천연동,894
구로구,천왕동,834
강동구,천호동,700
강남구,청담동,1096
동대문구,청량리동,1210
용산구,청파동1가,1388
용산구,청파동2가,876
서대문구,충정로3가,1380
종로구,평창동,578
송파구,풍납동,618
종로구,필운동,777
노원구,하계동,327
성북구,하월곡동,693
용산구,한강로1가,2004
용산구,한강로2가,2037
용산구,한남동,1046
마포구,합정동,838
구로구,항동,930
성동구,행당동,1040
종로구,행촌동,509
마포구,현석동,660
종로구,혜화동,715
서대문구,홍은동,553
서대문구,홍제동,712
강서구,화곡동,618
광진구,화양동,1166
중구,황학동,606
동대문구,회기동,538
종로구,효자동,720
용산구,효창동,1547
용산구,후암동,1066
동대문구,휘경동,834
동작구,흑석동,2942
